"","Date","flow","pipe"
"197",2020-07-02,346.5,"swqp"
"198",2020-07-03,304.1,"swqp"
"199",2020-07-04,382.7,"swqp"
"200",2020-07-05,329.9,"swqp"
"201",2020-07-06,285.9,"swqp"
"202",2020-07-07,267,"swqp"
"203",2020-07-08,287.3,"swqp"
"204",2020-07-09,272.4,"swqp"
"205",2020-07-10,313.4,"swqp"
"206",2020-07-11,370.2,"swqp"
"207",2020-07-12,340.6,"swqp"
"208",2020-07-13,286.4,"swqp"
"209",2020-07-14,300.2,"swqp"
"210",2020-07-15,330.5,"swqp"
"211",2020-07-16,298.5,"swqp"
"212",2020-07-17,354,"swqp"
"213",2020-07-18,391.3,"swqp"
"214",2020-07-19,395.8,"swqp"
"215",2020-07-20,347.2,"swqp"
"216",2020-07-21,355.3,"swqp"
"217",2020-07-22,401.6,"swqp"
"218",2020-07-23,376,"swqp"
"219",2020-07-24,419.3,"swqp"
"220",2020-07-25,426.3,"swqp"
"221",2020-07-26,418.4,"swqp"
"222",2020-07-27,391.8,"swqp"
"223",2020-07-28,424.2,"swqp"
"224",2020-07-29,395.6,"swqp"
"225",2020-07-30,406.3,"swqp"
"226",2020-07-31,395.9,"swqp"
"227",2020-08-01,367.8,"swqp"
"228",2020-08-02,370.6,"swqp"
"229",2020-08-03,348.1,"swqp"
"230",2020-08-04,390,"swqp"
"231",2020-08-05,391.1,"swqp"
"232",2020-08-06,400.9,"swqp"
"233",2020-08-07,322.4,"swqp"
"234",2020-08-08,354.5,"swqp"
"235",2020-08-09,280.4,"swqp"
"236",2020-08-10,274.2,"swqp"
"237",2020-08-11,318.7,"swqp"
"238",2020-08-12,304.3,"swqp"
"239",2020-08-13,258.7,"swqp"
"240",2020-08-14,286.8,"swqp"
"241",2020-08-15,266,"swqp"
"242",2020-08-16,233.8,"swqp"
"243",2020-08-17,198.4,"swqp"
"244",2020-08-18,203.6,"swqp"
"245",2020-08-19,252.1,"swqp"
"246",2020-08-20,167.4,"swqp"
"247",2020-08-21,225.3,"swqp"
"248",2020-08-22,248.5,"swqp"
"249",2020-08-23,211.6,"swqp"
"250",2020-08-24,141.5,"swqp"
"251",2020-08-25,201.8,"swqp"
"252",2020-08-26,275.9,"swqp"
"253",2020-08-27,221.2,"swqp"
"254",2020-08-28,222,"swqp"
"255",2020-08-29,230.4,"swqp"
"256",2020-08-30,204.8,"swqp"
"257",2020-08-31,224.8,"swqp"
"258",2020-09-01,243.1,"swqp"
"259",2020-09-02,129.5,"swqp"
"260",2020-09-03,186.4,"swqp"
"261",2020-09-04,157.2,"swqp"
"262",2020-09-05,261.6,"swqp"
"263",2020-09-06,160.3,"swqp"
"264",2020-09-07,214.4,"swqp"
"265",2020-09-08,119.6,"swqp"
"266",2020-09-09,205.4,"swqp"
"267",2020-09-10,91.8,"swqp"
"268",2020-09-11,154.2,"swqp"
"269",2020-09-12,84.1,"swqp"
"270",2020-09-13,79.9,"swqp"
"271",2020-09-14,65.9,"swqp"
"272",2020-09-15,81.4,"swqp"
"273",2020-09-16,29.1,"swqp"
"274",2020-09-17,85.5,"swqp"
"275",2020-09-18,21.3,"swqp"
"276",2020-09-19,75.4,"swqp"
"277",2020-09-20,14.4,"swqp"
"278",2020-09-21,125.1,"swqp"
"279",2020-09-22,9.3,"swqp"
"280",2020-09-23,61.4,"swqp"
"281",2020-09-24,30.8,"swqp"
"282",2020-09-25,27.4,"swqp"
"283",2020-09-26,36,"swqp"
"284",2020-09-27,28.8,"swqp"
"285",2020-09-28,32.4,"swqp"
"286",2020-09-29,91.7,"swqp"
"287",2020-09-30,2.9,"swqp"
"288",2020-10-01,-88.6,"swqp"
"289",2020-10-02,-55.6,"swqp"
"290",2020-10-03,-31.7,"swqp"
"291",2020-10-04,-17.8,"swqp"
"292",2020-10-05,49.7,"swqp"
"293",2020-10-06,63.1,"swqp"
"294",2020-10-07,22,"swqp"
"295",2020-10-08,27.9,"swqp"
"296",2020-10-09,6.1,"swqp"
"297",2020-10-10,57.9,"swqp"
"298",2020-10-11,91.6,"swqp"
"299",2020-10-12,34.7,"swqp"
"300",2020-10-13,-6.1,"swqp"
"301",2020-10-14,10.1,"swqp"
"302",2020-10-15,-40.6,"swqp"
"303",2020-10-16,-21.2,"swqp"
"304",2020-10-17,1.2,"swqp"
"305",2020-10-18,3.4,"swqp"
"306",2020-10-19,-53.6,"swqp"
"307",2020-10-20,-54.9,"swqp"
"308",2020-10-21,-63.6,"swqp"
"309",2020-10-22,-67.6,"swqp"
"310",2020-10-23,-66.8,"swqp"
"311",2020-10-24,-42.1,"swqp"
"312",2020-10-25,-22.5,"swqp"
"313",2020-10-26,-38.7,"swqp"
"314",2020-10-27,-69,"swqp"
"315",2020-10-28,-55.9,"swqp"
"316",2020-10-29,-47.9,"swqp"
"317",2020-10-30,-39,"swqp"
"318",2020-10-31,-67.8,"swqp"
"319",2020-11-01,-86.4,"swqp"
"320",2020-11-02,-121.8,"swqp"
"321",2020-11-03,-129.5,"swqp"
"322",2020-11-04,-119.7,"swqp"
"323",2020-11-05,-89.8,"swqp"
"324",2020-11-06,-59.4,"swqp"
"325",2020-11-07,-32.4,"swqp"
"326",2020-11-08,-44.5,"swqp"
"327",2020-11-09,-79,"swqp"
"328",2020-11-10,-57.5,"swqp"
"329",2020-11-11,-65.5,"swqp"
"330",2020-11-12,-97.9,"swqp"
"331",2020-11-13,-66.5,"swqp"
"332",2020-11-14,-55.4,"swqp"
"333",2020-11-15,-64.3,"swqp"
"334",2020-11-16,-76.2,"swqp"
"335",2020-11-17,-90.9,"swqp"
"336",2020-11-18,-55.4,"swqp"
"337",2020-11-19,-47.5,"swqp"
"338",2020-11-20,-78.8,"swqp"
"339",2020-11-21,-50.4,"swqp"
"340",2020-11-22,-96.2,"swqp"
"341",2020-11-23,-108.4,"swqp"
"342",2020-11-24,-106.6,"swqp"
"343",2020-11-25,-63.1,"swqp"
"344",2020-11-26,-101,"swqp"
"345",2020-11-27,-77.3,"swqp"
"346",2020-11-28,-44.1,"swqp"
"347",2020-11-29,-63.1,"swqp"
"348",2020-11-30,-53,"swqp"
"349",2020-12-01,-114,"swqp"
"350",2020-12-02,-176,"swqp"
"351",2020-12-03,-138.5,"swqp"
"352",2020-12-04,-139,"swqp"
"353",2020-12-05,-168.7,"swqp"
"354",2020-12-06,-128.1,"swqp"
"355",2020-12-07,-171.3,"swqp"
"356",2020-12-08,-148.5,"swqp"
"357",2020-12-09,-125.9,"swqp"
"358",2020-12-10,-154.6,"swqp"
"359",2020-12-11,-136.7,"swqp"
"360",2020-12-12,-98.9,"swqp"
"361",2020-12-13,-87.1,"swqp"
"362",2020-12-14,-126.7,"swqp"
"363",2020-12-15,-76.2,"swqp"
"364",2020-12-16,-93.9,"swqp"
"365",2020-12-17,-180.1,"swqp"
"366",2019-12-19,121.2,"msp"
"367",2019-12-20,112.1,"msp"
"368",2019-12-21,75,"msp"
