"","Date","flow","pipe"
"308",2020-10-21,1506.5,"aplng"
"309",2020-10-22,1508.4,"aplng"
"310",2020-10-23,1508.5,"aplng"
"311",2020-10-24,1509.5,"aplng"
"312",2020-10-25,1535.1,"aplng"
"313",2020-10-26,1488.8,"aplng"
"314",2020-10-27,1566.5,"aplng"
"315",2020-10-28,1543.2,"aplng"
"316",2020-10-29,1552.8,"aplng"
"317",2020-10-30,1553,"aplng"
"318",2020-10-31,1566.1,"aplng"
"319",2020-11-01,1589.2,"aplng"
"320",2020-11-02,1587.8,"aplng"
"321",2020-11-03,1596.5,"aplng"
"322",2020-11-04,1602.2,"aplng"
"323",2020-11-05,1592.2,"aplng"
"324",2020-11-06,1596.9,"aplng"
"325",2020-11-07,1600.9,"aplng"
"326",2020-11-08,1601,"aplng"
"327",2020-11-09,1628.8,"aplng"
"328",2020-11-10,1645.9,"aplng"
"329",2020-11-11,1631.7,"aplng"
"330",2020-11-12,1595.9,"aplng"
"331",2020-11-13,1599.2,"aplng"
"332",2020-11-14,1596.6,"aplng"
"333",2020-11-15,1590.4,"aplng"
"334",2020-11-16,1485.3,"aplng"
"335",2020-11-17,1596,"aplng"
"336",2020-11-18,1607.6,"aplng"
"337",2020-11-19,1630.3,"aplng"
"338",2020-11-20,1634.9,"aplng"
"339",2020-11-21,1618.8,"aplng"
"340",2020-11-22,1637.7,"aplng"
"341",2020-11-23,1565.5,"aplng"
"342",2020-11-24,1536.1,"aplng"
"343",2020-11-25,1537,"aplng"
"344",2020-11-26,1592.1,"aplng"
"345",2020-11-27,1615.2,"aplng"
"346",2020-11-28,1618.5,"aplng"
"347",2020-11-29,1601.8,"aplng"
"348",2020-11-30,1606.1,"aplng"
"349",2020-12-01,1592.7,"aplng"
"350",2020-12-02,1590.1,"aplng"
"351",2020-12-03,1615.8,"aplng"
"352",2020-12-04,1601.5,"aplng"
"353",2020-12-05,1575.9,"aplng"
"354",2020-12-06,1542.2,"aplng"
"355",2020-12-07,1577,"aplng"
"356",2020-12-08,1596.2,"aplng"
"357",2020-12-09,1628,"aplng"
"358",2020-12-10,1574.5,"aplng"
"359",2020-12-11,1608.1,"aplng"
"360",2020-12-12,1619.4,"aplng"
"361",2020-12-13,1607.8,"aplng"
"362",2020-12-14,1611.4,"aplng"
"363",2020-12-15,1255.2,"aplng"
"364",2020-12-16,1531.9,"aplng"
"365",2020-12-17,1335,"aplng"
"366",2019-12-19,1325.7,"qclng"
"367",2019-12-20,1422.1,"qclng"
"368",2019-12-21,1466.8,"qclng"
"369",2019-12-22,1442.5,"qclng"
"370",2019-12-23,1390.4,"qclng"
"371",2019-12-24,1388.6,"qclng"
"372",2019-12-25,1413.5,"qclng"
"373",2019-12-26,1447.7,"qclng"
"374",2019-12-27,1371.6,"qclng"
"375",2019-12-28,1405.5,"qclng"
"376",2019-12-29,1442.1,"qclng"
"377",2019-12-30,1381.6,"qclng"
"378",2019-12-31,1363.6,"qclng"
"379",2020-01-01,1344.8,"qclng"
"380",2020-01-02,1257.2,"qclng"
"381",2020-01-03,1307,"qclng"
"382",2020-01-04,1293,"qclng"
"383",2020-01-05,1290,"qclng"
"384",2020-01-06,1188.1,"qclng"
"385",2020-01-07,1188.3,"qclng"
"386",2020-01-08,1205,"qclng"
"387",2020-01-09,1269.1,"qclng"
"388",2020-01-10,1088.9,"qclng"
"389",2020-01-11,1101.1,"qclng"
"390",2020-01-12,1275.6,"qclng"
"391",2020-01-13,1279.4,"qclng"
"392",2020-01-14,1318.7,"qclng"
"393",2020-01-15,1300.2,"qclng"
"394",2020-01-16,1230.4,"qclng"
"395",2020-01-17,1220.7,"qclng"
"396",2020-01-18,1239.7,"qclng"
"397",2020-01-19,1166.4,"qclng"
"398",2020-01-20,1164.5,"qclng"
"399",2020-01-21,1151.6,"qclng"
"400",2020-01-22,1127.7,"qclng"
"401",2020-01-23,1121.2,"qclng"
"402",2020-01-24,1136.4,"qclng"
"403",2020-01-25,1130.3,"qclng"
"404",2020-01-26,1220.7,"qclng"
"405",2020-01-27,1253.1,"qclng"
"406",2020-01-28,1272.7,"qclng"
"407",2020-01-29,1278.1,"qclng"
"408",2020-01-30,1231.6,"qclng"
"409",2020-01-31,1197.3,"qclng"
"410",2020-02-01,1225.9,"qclng"
"411",2020-02-02,1240.8,"qclng"
"412",2020-02-03,1245.6,"qclng"
"413",2020-02-04,1261.8,"qclng"
"414",2020-02-05,1295.7,"qclng"
"415",2020-02-06,1292.8,"qclng"
"416",2020-02-07,1277.5,"qclng"
"417",2020-02-08,1321.1,"qclng"
"418",2020-02-09,1306.6,"qclng"
"419",2020-02-10,1271.6,"qclng"
"420",2020-02-11,1258.4,"qclng"
"421",2020-02-12,1170.6,"qclng"
"422",2020-02-13,1238.1,"qclng"
"423",2020-02-14,1277,"qclng"
"424",2020-02-15,1326,"qclng"
"425",2020-02-16,1271.6,"qclng"
"426",2020-02-17,1305.7,"qclng"
"427",2020-02-18,1246.4,"qclng"
"428",2020-02-19,1234.9,"qclng"
"429",2020-02-20,1251.7,"qclng"
"430",2020-02-21,1284.8,"qclng"
"431",2020-02-22,1303.2,"qclng"
"432",2020-02-23,1402.7,"qclng"
"433",2020-02-24,1359.1,"qclng"
"434",2020-02-25,1214.3,"qclng"
"435",2020-02-26,1282.4,"qclng"
"436",2020-02-27,1359.5,"qclng"
"437",2020-02-28,1406.8,"qclng"
"438",2020-02-29,1340.9,"qclng"
"439",2020-03-01,1137,"qclng"
"440",2020-03-02,710.7,"qclng"
"441",2020-03-03,703.3,"qclng"
"442",2020-03-04,1044.9,"qclng"
"443",2020-03-05,1173.2,"qclng"
"444",2020-03-06,1165.8,"qclng"
"445",2020-03-07,1215.2,"qclng"
"446",2020-03-08,1331,"qclng"
"447",2020-03-09,1323.2,"qclng"
"448",2020-03-10,1310.8,"qclng"
"449",2020-03-11,1322.7,"qclng"
"450",2020-03-12,1321.6,"qclng"
"451",2020-03-13,1319.2,"qclng"
"452",2020-03-14,1352.3,"qclng"
"453",2020-03-15,1435.6,"qclng"
"454",2020-03-16,1402.9,"qclng"
"455",2020-03-17,1364.5,"qclng"
"456",2020-03-18,1334.8,"qclng"
"457",2020-03-19,1311.5,"qclng"
"458",2020-03-20,1328.2,"qclng"
"459",2020-03-21,1364.7,"qclng"
"460",2020-03-22,1352.7,"qclng"
"461",2020-03-23,1291,"qclng"
"462",2020-03-24,1263.8,"qclng"
"463",2020-03-25,1283.5,"qclng"
"464",2020-03-26,1298.1,"qclng"
"465",2020-03-27,1299.2,"qclng"
"466",2020-03-28,1251.1,"qclng"
"467",2020-03-29,1204.3,"qclng"
"468",2020-03-30,1256.2,"qclng"
"469",2020-03-31,1233.5,"qclng"
"470",2020-04-01,1215,"qclng"
"471",2020-04-02,1222.7,"qclng"
"472",2020-04-03,1262.3,"qclng"
"473",2020-04-04,1294.8,"qclng"
"474",2020-04-05,1270.6,"qclng"
"475",2020-04-06,1254.5,"qclng"
"476",2020-04-07,1279.5,"qclng"
"477",2020-04-08,1261,"qclng"
"478",2020-04-09,1200,"qclng"
"479",2020-04-10,1245.4,"qclng"
"480",2020-04-11,1305.1,"qclng"
"481",2020-04-12,1299.8,"qclng"
"482",2020-04-13,1333,"qclng"
"483",2020-04-14,1289.8,"qclng"
"484",2020-04-15,1345.4,"qclng"
"485",2020-04-16,1448.5,"qclng"
"486",2020-04-17,1421.2,"qclng"
"487",2020-04-18,1371.7,"qclng"
"488",2020-04-19,1389.6,"qclng"
"489",2020-04-20,1328,"qclng"
"490",2020-04-21,1284,"qclng"
"491",2020-04-22,1306.9,"qclng"
"492",2020-04-23,1419.7,"qclng"
"493",2020-04-24,1478.9,"qclng"
"494",2020-04-25,1471.6,"qclng"
"495",2020-04-26,1439.9,"qclng"
"496",2020-04-27,1335.9,"qclng"
"497",2020-04-28,1210.8,"qclng"
"498",2020-04-29,1234.5,"qclng"
"499",2020-04-30,1232.6,"qclng"
"500",2020-05-01,1137.4,"qclng"
"501",2020-05-02,1160.2,"qclng"
"502",2020-05-03,1321.1,"qclng"
"503",2020-05-04,1426.9,"qclng"
"504",2020-05-05,1421.6,"qclng"
"505",2020-05-06,1463,"qclng"
"506",2020-05-07,1482.6,"qclng"
"507",2020-05-08,1465.7,"qclng"
"508",2020-05-09,1237.7,"qclng"
"509",2020-05-10,1071.8,"qclng"
"510",2020-05-11,902.6,"qclng"
"511",2020-05-12,852,"qclng"
"512",2020-05-13,886.5,"qclng"
"513",2020-05-14,950.8,"qclng"
"514",2020-05-15,839.3,"qclng"
"515",2020-05-16,810.5,"qclng"
"516",2020-05-17,1051.7,"qclng"
"517",2020-05-18,1201.7,"qclng"
"518",2020-05-19,1283.7,"qclng"
"519",2020-05-20,1319.5,"qclng"
"520",2020-05-21,1271.7,"qclng"
"521",2020-05-22,1193.2,"qclng"
"522",2020-05-23,1286.2,"qclng"
"523",2020-05-24,1423.9,"qclng"
"524",2020-05-25,1492.2,"qclng"
"525",2020-05-26,1498.4,"qclng"
"526",2020-05-27,1425.8,"qclng"
"527",2020-05-28,1335.8,"qclng"
"528",2020-05-29,1353.3,"qclng"
"529",2020-05-30,1340.7,"qclng"
"530",2020-05-31,1416.1,"qclng"
"531",2020-06-01,1441.6,"qclng"
"532",2020-06-02,1418.5,"qclng"
"533",2020-06-03,1404.9,"qclng"
"534",2020-06-04,1395,"qclng"
"535",2020-06-05,1359.5,"qclng"
"536",2020-06-06,1346.4,"qclng"
"537",2020-06-07,1341.6,"qclng"
"538",2020-06-08,1328,"qclng"
"539",2020-06-09,1323.4,"qclng"
"540",2020-06-10,1249.1,"qclng"
"541",2020-06-11,1285.6,"qclng"
"542",2020-06-12,1287.4,"qclng"
"543",2020-06-13,1225.3,"qclng"
"544",2020-06-14,1272.7,"qclng"
"545",2020-06-15,1178.5,"qclng"
"546",2020-06-16,1452,"qclng"
"547",2020-06-17,1411.3,"qclng"
"548",2020-06-18,1386.8,"qclng"
"549",2020-06-19,1412.3,"qclng"
"550",2020-06-20,1435.5,"qclng"
"551",2020-06-21,1344.3,"qclng"
"552",2020-06-22,1313.2,"qclng"
"553",2020-06-23,1276.7,"qclng"
"554",2020-06-24,1250.6,"qclng"
"555",2020-06-25,1405.9,"qclng"
"556",2020-06-26,1321.8,"qclng"
"557",2020-06-27,1257.4,"qclng"
"558",2020-06-28,1442.9,"qclng"
"559",2020-06-29,1374.5,"qclng"
"560",2020-06-30,1387,"qclng"
"561",2020-07-01,1358.5,"qclng"
"562",2020-07-02,1390.4,"qclng"
"563",2020-07-03,1356.9,"qclng"
"564",2020-07-04,1374.3,"qclng"
