"","Date","HeldInStorage","Levels","facility"
"434",2022-09-29,11745.013,45.2,"iona"
"435",2022-09-30,11888.488,45.7,"iona"
"436",2022-10-01,12012.484,46.2,"iona"
"437",2022-10-02,12131.937,46.7,"iona"
"438",2022-10-03,12280.982,47.2,"iona"
"439",2022-10-04,12420.733,47.8,"iona"
"440",2022-10-05,12465.293,47.9,"iona"
"441",2022-10-06,12533.239,48.2,"iona"
"442",2022-10-07,12517.904,48.1,"iona"
"443",2022-10-08,12504.95,48.1,"iona"
"444",2022-10-09,12374.617,47.6,"iona"
"445",2022-10-10,12290.721,47.3,"iona"
"446",2022-10-11,12346.417,47.5,"iona"
"447",2022-10-12,12414.72,47.7,"iona"
"448",2022-10-13,12448.567,47.9,"iona"
"449",2022-10-14,12450.023,47.9,"iona"
"450",2022-10-15,12521.176,48.2,"iona"
"451",2022-10-16,12596.633,48.4,"iona"
"452",2022-10-17,12658.716,48.7,"iona"
"453",2022-10-18,12817.673,49.3,"iona"
"454",2022-10-19,13031.209,50.1,"iona"
"455",2022-10-20,13243.409,50.9,"iona"
"456",2022-10-21,13432.844,51.7,"iona"
"457",2022-10-22,13622.909,52.4,"iona"
"458",2022-10-23,13752.924,52.9,"iona"
"459",2022-10-24,13872.623,53.4,"iona"
"460",2022-10-25,13987.298,53.8,"iona"
"461",2022-10-26,14093.615,54.2,"iona"
"462",2022-10-27,14147.393,54.4,"iona"
"463",2022-10-28,14121.043,54.3,"iona"
"464",2022-10-29,14175.246,54.5,"iona"
"465",2022-10-30,14283.529,54.9,"iona"
"466",2022-10-31,14375.922,55.3,"iona"
"467",2022-11-01,14302.288,55,"iona"
"468",2022-11-02,14169.395,54.5,"iona"
"469",2022-11-03,14109.862,54.3,"iona"
"470",2022-11-04,14201.221,54.6,"iona"
"471",2022-11-05,14336.465,55.1,"iona"
"472",2022-11-06,14455.25,55.6,"iona"
"473",2022-11-07,14455.084,55.6,"iona"
"474",2022-11-08,14455.084,55.6,"iona"
"475",2022-11-09,14455.084,55.6,"iona"
"476",2022-11-10,14455.084,55.6,"iona"
"477",2022-11-11,14455.084,55.6,"iona"
"478",2022-11-12,14455.084,55.6,"iona"
"479",2022-11-13,14455.084,55.6,"iona"
"480",2022-11-14,14455.084,55.6,"iona"
"481",2022-11-15,14455.084,55.6,"iona"
"482",2022-11-16,14455.084,55.6,"iona"
"483",2022-11-17,14455.084,55.6,"iona"
"484",2022-11-18,14455.084,55.6,"iona"
"485",2022-11-19,14455.084,55.6,"iona"
"486",2022-11-20,14455.084,55.6,"iona"
"487",2022-11-21,14455.084,55.6,"iona"
"488",2022-11-22,14455.084,55.6,"iona"
"489",2022-11-23,14455.084,55.6,"iona"
"490",2022-11-24,14455.084,55.6,"iona"
"491",2022-11-25,14455.084,55.6,"iona"
"492",2022-11-26,14455.083,55.6,"iona"
"493",2022-11-27,14455.072,55.6,"iona"
"494",2022-11-28,14455.019,55.6,"iona"
"495",2022-11-29,14453.843,55.6,"iona"
"496",2022-11-30,14480.051,55.7,"iona"
"497",2022-12-01,14492.878,55.7,"iona"
"498",2022-12-02,14464.121,55.6,"iona"
"499",2022-12-03,14482.493,55.7,"iona"
"500",2022-12-04,14495.38,55.8,"iona"
"501",2022-12-05,14512.446,55.8,"iona"
"502",2022-12-06,14472.699,55.7,"iona"
"503",2022-12-07,14462.737,55.6,"iona"
"504",2022-12-08,14464.958,55.6,"iona"
"505",2022-12-09,14653.869,56.4,"iona"
"506",2022-12-10,14836.257,57.1,"iona"
"507",2022-12-11,15027.674,57.8,"iona"
"508",2022-12-12,15213.822,58.5,"iona"
"509",2022-12-13,15371.577,59.1,"iona"
"510",2022-12-14,15474.754,59.5,"iona"
"511",2022-12-15,15621.376,60.1,"iona"
"512",2022-12-16,15766.487,60.6,"iona"
"513",2022-12-17,15916.068,61.2,"iona"
"514",2022-12-18,16062.399,61.8,"iona"
"515",2022-12-19,16208.566,62.3,"iona"
"516",2022-12-20,16357.796,62.9,"iona"
"517",2022-12-21,16495.619,63.4,"iona"
"518",2022-12-22,16659.015,64.1,"iona"
"519",2022-12-23,16814.682,64.7,"iona"
"520",2022-12-24,16951.849,65.2,"iona"
"521",2022-12-25,17073.186,65.7,"iona"
"522",2022-12-26,17223.481,66.2,"iona"
"523",2022-12-27,17429.138,67,"iona"
"524",2022-12-28,17623.214,67.8,"iona"
"525",2022-12-29,17808.805,68.5,"iona"
"526",2022-12-30,17997.23,69.2,"iona"
"527",2022-12-31,18192.793,70,"iona"
"528",2023-01-01,18372.557,70.7,"iona"
"529",2023-01-02,18561.66,71.4,"iona"
"530",2023-01-03,18719.356,72,"iona"
"531",2023-01-04,18874.515,72.6,"iona"
"532",2023-01-05,19024.385,73.2,"iona"
"533",2023-01-06,19192.183,73.8,"iona"
"534",2023-01-07,19339.159,74.4,"iona"
"535",2023-01-08,19466.347,74.9,"iona"
"536",2023-01-09,19592.726,75.4,"iona"
"537",2023-01-10,19700.722,75.8,"iona"
"538",2023-01-11,19729.717,75.9,"iona"
"539",2023-01-12,19824.396,76.2,"iona"
"540",2023-01-13,19902.366,76.5,"iona"
"541",2023-01-14,20014.277,77,"iona"
"542",2023-01-15,20141.47,77.5,"iona"
"543",2023-01-16,20230.431,77.8,"iona"
"544",2023-01-17,20285.673,78,"iona"
"545",2023-01-18,20329.29,78.2,"iona"
"546",2023-01-19,20385.912,78.4,"iona"
"547",2023-01-20,20470.322,78.7,"iona"
"548",2023-01-21,20557.3,79.1,"iona"
"549",2023-01-22,20640.289,79.4,"iona"
"550",2023-01-23,20724.381,79.7,"iona"
"551",2023-01-24,20798.254,80,"iona"
"552",2023-01-25,20877.8,80.3,"iona"
"553",2023-01-26,20958.576,80.6,"iona"
"554",2023-01-27,21031.329,80.9,"iona"
"555",2023-01-28,21058.97,81,"iona"
"556",2023-01-29,21054.633,81,"iona"
"557",2023-01-30,21035.742,80.9,"iona"
"558",2023-01-31,21050.061,81,"iona"
"559",2023-02-01,21090.67,81.1,"iona"
"560",2023-02-02,21094.35,81.1,"iona"
"561",2023-02-03,21107.28,81.2,"iona"
"562",2023-02-04,21214.352,81.6,"iona"
"563",2023-02-05,21338.334,82.1,"iona"
"564",2023-02-06,21434.487,82.4,"iona"
"565",2023-02-07,21550.668,82.9,"iona"
"566",2023-02-08,21674.084,83.4,"iona"
"567",2023-02-09,21709.087,83.5,"iona"
"568",2023-02-10,21785.838,83.8,"iona"
"569",2023-02-11,21892.927,84.2,"iona"
"570",2023-02-12,22005.576,84.6,"iona"
"571",2023-02-13,22113.74,85.1,"iona"
"572",2023-02-14,22208.245,85.4,"iona"
"573",2023-02-15,22208.67,85.4,"iona"
"574",2023-02-16,22131.418,85.1,"iona"
"575",2023-02-17,22061.466,84.9,"iona"
"576",2023-02-18,22059.656,84.8,"iona"
"577",2023-02-19,22064.713,84.9,"iona"
"578",2023-02-20,22008.247,84.6,"iona"
"579",2023-02-21,21976.881,84.5,"iona"
"580",2023-02-22,21911.278,84.3,"iona"
"581",2023-02-23,21944.328,84.4,"iona"
"582",2023-02-24,22064.915,84.9,"iona"
"583",2023-02-25,22163.178,85.2,"iona"
"584",2023-02-26,22252.447,85.6,"iona"
"585",2023-02-27,22351.566,86,"iona"
